CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
233	400	32354	155914	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4375	NAMED	CIWBSHSKHKDKBQ-UHFFFAOYSA-N	OCC(O)C1OC(C(O)=C1O)=O	ascorbate (vitamin C)	ascorbate (vitamin C)	134-03-2,50-81-7	10189562	HMDB0000044	D00018,C00072	54670067	Pos Early
234	400	443	155304	Amino Acid	Alanine and Aspartate Metabolism	36	NAMED	CKLJMWTZIZZHCS-UHFFFAOYSA-N	NC(C(O)=O)CC(O)=O	aspartate	aspartate	56-84-8	5745	HMDB0000191	C00049	5960	Pos Early
240	209	32197	123321	Amino Acid	Tyrosine Metabolism	186	NAMED	JVGVDSSUAVXRDY-UHFFFAOYSA-N	OC(C(O)=O)CC1=CC=C(O)C=C1	3-(4-hydroxyphenyl)lactate	3-(4-hydroxyphenyl)lactate (HPLA)	6482-98-0	9010	HMDB0000755	C03672	9378	Neg
244	400	55	155295	Nucleotide	Pyrimidine Metabolism, Uracil containing	4266	NAMED	UCMIRNVEIXFBKS-UHFFFAOYSA-N	NCCC(O)=O	beta-alanine	beta-alanine	107-95-9,56-41-7	234	HMDB0000056	C00099	239	Pos Early
249	400	1768	155446	Amino Acid	Histidine Metabolism	86	NAMED	CQOVPNPJLQNMDC-ZETCQYMHSA-N	OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O	carnosine	carnosine	305-84-0	388363	HMDB0000033	C00386	439224	Pos Early
250	402	2137	158009	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	4439	NAMED	QBUVFDKTZJNUPP-YBRAVLHJSA-N	CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O	biliverdin	biliverdin	55482-27-4,55482-27-4	10628548	HMDB0001008	C00500	5280353	Pos Late
252	305	1437	147106	Energy	TCA Cycle	1466	NAMED	KDYFGRWQOYBRFD-UHFFFAOYSA-N	OC(CCC(O)=O)=O	succinate	succinate	110-15-6	1078	HMDB0000254	C00042	1110	Polar
254	305	542	145710	Lipid	Ketone Bodies	1960	NAMED	WHBMMWSBFZVSSR-UHFFFAOYSA-N	CC(O)CC(O)=O	3-hydroxybutyrate (BHBA)	3-hydroxybutyrate (BHBA)	625-72-9	428	HMDB0000442,HMDB0000357,HMDB0000011	C03197,C01089	94318,441,92135	Polar
266	402	63	164177	Lipid	Sterol	3218	NAMED	HVYWMOMLDIMFJA-LBHVWCRMSA-N	CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1	cholesterol	cholesterol	57-88-5	4937803	HMDB0000067	C00187	5997,6432564,11025495	Pos Late
267	400	34396	156099	Lipid	Phospholipid Metabolism	2255	NAMED	YHHSONZFOIEMCP-UHFFFAOYSA-N	C[N+](C)(CCOP(O)([O-])=O)C	choline phosphate	phosphocholine	72556-74-2	119298	HMDB0001565	C00588	1014	Pos Early
275	400	513	155307	Amino Acid	Creatine Metabolism	537	NAMED	DDRJAANPRJIHGJ-UHFFFAOYSA-N	CN(C(N1)=N)CC1=O	creatinine	creatinine	60-27-5	568	HMDB0000562	C00791	588	Pos Early
279	400	56	155296	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	468	NAMED	LEVWYRKDKASIDU-UHFFFAOYSA-N	NC(C(O)=O)CSSCC(N)C(O)=O	cystine	cystine	56-89-3	575	HMDB0000192	C00491	67678	Pos Early
282	400	2372	155469	Nucleotide	Pyrimidine Metabolism, Cytidine containing	4274	NAMED	IERHLVCPSMICTF-UHFFFAOYSA-N	NC1=NC(N(C2OC(C(C2O)O)COP(O)(O)=O)C=C1)=O	cytidine 5'-monophosphate (5'-CMP)	CMP	63-37-6	5414497	HMDB0000095	C00055	6131	Pos Early
291	305	31260	147190	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1241	NAMED	NBSCHQHZLSJFNQ-UHFFFAOYSA-N	OC1OC(C(C(C1O)O)O)COP(O)(O)=O	glucose 6-phosphate	glucose 6-phosphate	103192-55-8	19952394	HMDB0001401	C00092	5958	Polar
294	305	1469	146438	Carbohydrate	Fructose, Mannose and Galactose Metabolism	1371	NAMED	NBSCHQHZLSJFNQ-CGDLOXFJSA-N	OP(OC[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O)(O)=O	mannose 6-phosphate	mannose 6-phosphate	104872-94-8,70442-25-0	19969422	HMDB0001078	C00275	439198	Polar
297	402	17747	158164	Lipid	Sphingosines	3185	NAMED	WWUZIQQURGPMPG-CCEZHUSRSA-N	CCCCCCCCCCCCC/C=C/C(C(CO)N)O	sphingosine	sphingosine	123-78-4	4510275	HMDB0000252	C00319	5280335	Pos Late
301	305	1659	152114	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4379	NAMED	SBJKKFFYIZUCET-UHFFFAOYSA-N	OCC(C1OC(C(C1=O)=O)=O)O	dehydroascorbate	dehydroascorbate	490-83-5	812	HMDB0001264	C05422	440667	Polar
306	402	6065	161421	Lipid	Sterol	3217	NAMED	AVSXSVCZWQODGV-UHFFFAOYSA-N	CC12C(C3CC=C4CC(O)CCC4(C)C3CC2)CCC1C(C)CC/C=C(C)/C	desmosterol	desmosterol	313-04-2	388662	HMDB0002719	C01802	439577	Pos Late
309	209	15522	145093	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1249	NAMED	GNGACRATGGDKBX-UHFFFAOYSA-N	OCC(COP(O)(O)=O)=O	dihydroxyacetone phosphate (DHAP)	dihydroxyacetone phosphate (DHAP)	102783-56-2	3833110	HMDB0001473	C00111	668	Neg
310	400	15705	155581	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	459	NAMED	ILRYLPWNYFXEMH-UHFFFAOYSA-N	OC(C(CCSCC(N)C(O)=O)N)=O	cystathionine	cystathionine	535-34-2	811	HMDB0000099	C02291	439258	Pos Early
313	402	17769	158166	Lipid	Sphingolipid Synthesis	3025	NAMED	OTKJDMGTUTTYMP-UHFFFAOYSA-N	CCCCCCCCCCCCCCCC(C(CO)N)O	sphinganine	sphinganine	3102-56-5	3014	HMDB0000269	C00836	3126	Pos Late
330	305	1643	146876	Energy	TCA Cycle	1467	NAMED	VZCYOOQTPOCHFL-OWOJBTEDSA-N	OC(/C=C/C(O)=O)=O	fumarate	fumarate	100-17-8	10197150	HMDB0000134	C00122	444972	Polar
331	400	36738	156248	Peptide	Gamma-glutamyl Amino Acid	650	NAMED	OWQDWQKWSLFFFR-UHFFFAOYSA-N	O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O	gamma-glutamylglutamate	gamma-glutamylglutamate	1116-22-9	83831	HMDB0011737	C05282	92865	Pos Early
338	305	587	147098	Xenobiotics	Food Component/Plant	4834	NAMED	RGHNJXZEOKUKBD-SQOUGZDYSA-N	OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O	gluconate	gluconate	527-07-1	10240	HMDB0000625	C00257	10690,3085666	Polar
339	305	396	146390	Lipid	Fatty Acid, Dicarboxylate	1681	NAMED	JFCQEDHGNNZCLN-UHFFFAOYSA-N	OC(CCCC(O)=O)=O	glutarate (C5-DC)	glutarate (C5-DC)	110-94-1	3618533	HMDB0000661	C00489	743,4418048	Polar
340	400	58	160611	Amino Acid	Glycine, Serine and Threonine Metabolism	1	NAMED	DHMQDGOQFOQNFH-UHFFFAOYSA-N	NCC(O)=O	glycine	glycine	56-40-6	730	HMDB0000123	C00037	750	Pos Early
342	209	18476	126842	Lipid	Primary Bile Acid Metabolism	3480	NAMED	RFDAIACWWDREDC-FRVQLJSFSA-N	O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O	glycocholate	glycocholate	475-31-0,863-57-0	9734	HMDB0000138	C01921	10140	Neg
344	400	43802	157048	Amino Acid	Creatine Metabolism	535	NAMED	BPMFZUMJYQTVII-UHFFFAOYSA-N	NC(NCC(O)=O)=N	guanidinoacetate	guanidinoacetate	352-97-6	743	HMDB0000128	C00581	763	Pos Early
347	400	2849	155481	Nucleotide	Purine Metabolism, Guanine containing	4204	NAMED	RQFCJASXJCIDSX-UHFFFAOYSA-N	NC1=NC2=C(C(N1)=O)N=CN2C3OC(C(C3O)O)COP(O)(O)=O	guanosine 5'-monophosphate (5'-GMP)	5'- GMP	5550-12-9	741	HMDB0001397	C00144	6804	Pos Early
355	400	59	155299	Amino Acid	Histidine Metabolism	72	NAMED	HNDVDQJCIGZPNO-UHFFFAOYSA-N	NC(C(O)=O)CC1=CN=CN1	histidine	histidine	5934-29-2	752	HMDB0000177	C00135	6274	Pos Early
358	400	590	155331	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	476	NAMED	VVIUBCNYACGLLV-UHFFFAOYSA-N	NCCS(O)=O	hypotaurine	hypotaurine	300-84-5	96959	HMDB0000965	C00519	107812	Pos Early
361	209	1123	123191	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4146	NAMED	UGQMRVRMYYASKQ-KQYNXXCUSA-N	O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O	inosine	inosine	58-63-9	21241953	HMDB0000195	C00294	6021	Neg
363	305	1124	145716	Lipid	Inositol Metabolism	2223	NAMED	CDAISMWEOUEBRE-GPIVLXJGSA-N	O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O	myo-inositol	myo-inositol	87-89-8	10239179	HMDB0000211	C00137	892	Polar
370	305	43849	149790	Lipid	Inositol Metabolism	2232	NAMED	INAPMGSXUVUWAF-PTQMNWPWSA-N	O[C@@H]1[C@H]([C@@H]([C@H]([C@H]([C@H]1O)O)OP(O)(O)=O)O)O	inositol 1-phosphate (I1P)	inositol 1-phosphate (I1P)	106032-59-1,573-35-3	17215924	HMDB0000213	C01177	440194	Polar
376	400	1125	155350	Amino Acid	Leucine, Isoleucine and Valine Metabolism	390	NAMED	AGPKZVBTJJNPAG-UHFFFAOYSA-N	NC(C(O)=O)C(C)CC	isoleucine	isoleucine	73-32-5	769	HMDB0000172	C06418,C00407,C16424	6306	Pos Early
381	305	6146	147948	Amino Acid	Lysine Metabolism	125	NAMED	OYIFNHCXNCRBQI-UHFFFAOYSA-N	OC(CCCC(N)C(O)=O)=O	2-aminoadipate	2-aminoadipate	1118-90-7,542-32-5	456	HMDB0000510	C00956	92136	Polar
391	400	2132	155460	Amino Acid	Urea cycle; Arginine and Proline Metabolism	499	NAMED	RHGKLRLOHDJJDR-UHFFFAOYSA-N	NC(C(O)=O)CCCNC(N)=O	citrulline	citrulline	372-75-8	810	HMDB0000904	C00327	9750	Pos Early
393	305	567	147468	Carbohydrate	Disaccharides and Oligosaccharides	1322	NAMED	GUBGYTABKSRVRQ-DCSYEGIMSA-N	O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O	lactose	lactose	5965-66-2	5904	HMDB0041627	C01970	6134	Polar
397	400	60	155300	Amino Acid	Leucine, Isoleucine and Valine Metabolism	337	NAMED	ROHFNLRQFUQHCH-YFKPBYRVSA-N	O=C([C@H](CC(C)C)N)O	leucine	leucine	61-90-5		HMDB0000687	C00123	6106	Pos Early
407	400	1301	155354	Amino Acid	Lysine Metabolism	107	NAMED	KDXKERNSBIXSRK-UHFFFAOYSA-N	NC(C(O)=O)CCCCN	lysine	lysine	56-87-1	5747	HMDB0003405	C00739,C00047	5962	Pos Early
409	209	1303	123199	Energy	TCA Cycle	1469	NAMED	BJEPYKJPYRNKOW-UHFFFAOYSA-N	OC(C(O)=O)CC(O)=O	malate	malate	6915-15-7	510	HMDB0031518,HMDB0000156,HMDB0000744	C00149,C00711,C00497	525	Neg
415	400	1302	155355	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	440	NAMED	FFEARJCKVFRZRR-UHFFFAOYSA-N	CSCCC(N)C(O)=O	methionine	methionine	63-68-3	5907	HMDB0000696	C00073	6137	Pos Early
424	209	1336	125720	Lipid	Long Chain Saturated Fatty Acid	1532	NAMED	IPCSVZSSVZVIGE-UHFFFAOYSA-N	OC(CCCCCCCCCCCCCCC)=O	palmitate (16:0)	palmitate (16:0)	57-10-3	960	HMDB0000220	C00249	985	Neg
432	400	594	155332	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	4331	NAMED	DFPAKSUCGFBDDF-UHFFFAOYSA-N	NC(C1=CN=CC=C1)=O	nicotinamide	nicotinamide	98-92-0	911	HMDB0001406	C00153	936	Pos Early
437	209	12035	125748	Lipid	Medium Chain Fatty Acid	1514	NAMED	FBUKVWPVBMHYJY-UHFFFAOYSA-N	CCCCCCCCC(O)=O	pelargonate (9:0)	pelargonate (9:0)	112-05-0	4574394	HMDB0000847	C01601	8158	Neg
439	209	1358	125724	Lipid	Long Chain Saturated Fatty Acid	1536	NAMED	QIQXTHQIDYTFRH-UHFFFAOYSA-N	CCCCCCCCCCCCCCCCCC(O)=O	stearate (18:0)	stearate (18:0)	57-11-4	5091	HMDB0000827	C01530	5281	Neg
444	400	1493	155375	Amino Acid	Urea cycle; Arginine and Proline Metabolism	494	NAMED	AHLPHDHHMVZTML-BYPYZUCNSA-N	O=C(O)[C@@H](N)CCCN	ornithine	ornithine	3184-13-2	6026	HMDB0000214	C00077	6262	Pos Early
445	305	1505	146440	Nucleotide	Pyrimidine Metabolism, Orotate containing	4234	NAMED	PXQPEWDEAKTCGB-UHFFFAOYSA-N	O=C(C1=CC(O)=NC(O)=N1)O	orotate	orotate	50887-69-9	942	HMDB0000226	C00295	967	Polar
452	209	33447	126083	Lipid	Long Chain Monounsaturated Fatty Acid	1551	NAMED	SECPZKHBENQXJG-FPLPWBNLSA-N	CCCCCC\C=C/CCCCCCCC(O)=O	palmitoleate (16:1n7)	palmitoleate (16:1n7)	373-49-9	393216	HMDB0003229	C08362	445638	Neg
460	400	64	155301	Amino Acid	Phenylalanine Metabolism	142	NAMED	COLNVLDHVKWLRT-UHFFFAOYSA-N	NC(C(O)=O)CC1=CC=CC=C1	phenylalanine	phenylalanine	63-91-2	5910	HMDB0000159	C00079	6140	Pos Early
461	209	42109	126986	Energy	Oxidative Phosphorylation	1486	NAMED	NBIIXXVUZAFLBC-UHFFFAOYSA-N	O=P(O)(O)O	phosphate	phosphate	7664-38-2	1032	HMDB0001429	C00009	1061	Neg
463	209	597	124535	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1255	NAMED	DTBNBXWJWCWCIK-UHFFFAOYSA-N	O=P(O)(OC(C(O)=O)=C)O	phosphoenolpyruvate (PEP)	phosphoenolpyruvate (PEP)	10526-80-4	980	HMDB0000263	C00074	1005	Neg
480	400	1898	155455	Amino Acid	Urea cycle; Arginine and Proline Metabolism	502	NAMED	ONIBWKKTOPOVIA-UHFFFAOYSA-N	OC(C1CCCN1)=O	proline	proline	147-85-3	128566	HMDB0000162,HMDB0003411	C00148,C000763	8988,145742,614	Pos Early
482	305	527	146396	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1257	NAMED	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	CC(O)C(O)=O	lactate	lactate	79-33-4	592	HMDB0000190	C00186	612	Polar
491	400	1651	155439	Cofactors and Vitamins	Vitamin B6 Metabolism	4478	NAMED	RADKZDMFGJYCBB-UHFFFAOYSA-N	OC1=C(C)N=CC(CO)=C1C=O	pyridoxal	pyridoxal	65-22-5	1021	HMDB0001545	C00250	1050	Pos Early
498	402	1806	165222	Cofactors and Vitamins	Vitamin A Metabolism	4457	NAMED	FPIPGXGPPPQFEQ-OVSJKPMPSA-N	C/C(/C=C/C(C(C)(CCC1)C)=C1C)=C\C=C\C(C)=C\CO	retinol (vitamin A)	retinol (vitamin A)	68-26-8	393012	HMDB0000305	C00473	445354	Pos Late
501	305	1515	164364	Xenobiotics	Drug - Topical Agents	5996	NAMED	YGSDEFSMJLZEOE-UHFFFAOYSA-N	OC1=C(C(O)=O)C=CC=C1	salicylate	salicylate	69-72-7	331	HMDB0001895	C00805	338	Polar
503	209	1648	123215	Amino Acid	Glycine, Serine and Threonine Metabolism	10	NAMED	MTCFGRXMJLQNBG-REOHCLBHSA-N	OC([C@@H](N)CO)=O	serine	serine	56-45-1	5736	HMDB0000187	C00065	5951	Neg
507	400	603	155336	Amino Acid	Polyamine Metabolism	560	NAMED	PFNFFQXMRSDOHW-UHFFFAOYSA-N	NCCCNCCCCNCCCN	spermine	spermine	71-44-3	1072	HMDB0001256	C00750	1103	Pos Early
512	209	2125	124601	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	477	NAMED	XOAAWQZATWQOTB-UHFFFAOYSA-N	NCCS(=O)(O)=O	taurine	taurine	107-35-7	1091	HMDB0000251	C00245	1123	Neg
519	209	1365	125728	Lipid	Long Chain Saturated Fatty Acid	1529	NAMED	TUNFSRHWOTWDNC-UHFFFAOYSA-N	OC(CCCCCCCCCCCCC)=O	myristate (14:0)	myristate (14:0)	544-63-8	10539	HMDB0000806	C06424	11005	Neg
533	400	1670	155443	Amino Acid	Urea cycle; Arginine and Proline Metabolism	492	NAMED	XSQUKJJJFZCRTK-UHFFFAOYSA-N	O=C(N)N	urea	urea	57-13-6	1143	HMDB0000294	C00086	1176	Pos Early
535	209	606	123185	Nucleotide	Pyrimidine Metabolism, Uracil containing	4246	NAMED	DRTQHJPVMGBUCF-UHFFFAOYSA-N	OC1C(N(C=CC2=O)C(N2)=O)OC(CO)C1O	uridine	uridine	58-96-8	5807	HMDB0000296	C00299	6029	Neg
537	400	607	155340	Amino Acid	Histidine Metabolism	80	NAMED	LOIYMIARKYCTBW-OWOJBTEDSA-N	O=C(O)/C=C/C1=CNC=N1	trans-urocanate	trans-urocanate	104-98-3	643824	HMDB0000301	C00785	736715	Pos Early
561	400	57	155297	Amino Acid	Glutamate Metabolism	46	NAMED	WHUUTDBJXJRKMK-VKHMYHEASA-N	O=C(O)[C@@H](N)CCC(O)=O	glutamate	glutamate	56-86-0	591	HMDB0000148	C00025,C00217	33032	Pos Early
563	400	53	155293	Amino Acid	Glutamate Metabolism	47	NAMED	ZDXPYRJPNDTMRX-VKHMYHEASA-N	OC([C@@H](N)CCC(N)=O)=O	glutamine	glutamine	56-85-9	5746	HMDB0000641	C00064	5961	Pos Early
